"HostName","CPUUsage","RAMUsage","Disk1Usage","Disk2Usage","Disk3Usage","PowerOnFailureTime","ShutdownFailureTime","OverallStatus","FailedPercentage","HighLoadPercentage","CriticalErrorPercentage","TotalActiveSessions","TotalUpdatesInstalled","TotalCriticalLogs","TotalErrorLogs","TotalHostsShutdownFailed","BootTime","InventoryDatestamp"
"n7rcws","6","25,53","78.4 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","0","25,53","78.4 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-16 11:27:20",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-16 11:27:20",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","4","25,51","78.4 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","8","25,46","78.4 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-16 11:34:47",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-16 11:34:47",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","0","25,57","78.4 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","7","25,57","78.4 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-16 11:38:21",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-16 11:38:21",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","4","24,44","78.44 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","1","0","0","0",,
"localhost","5","24,45","78.44 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","1","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-16 16:14:19",,"Partial Failures","50","0","0","2","1","0","0","0",,
"i2-ca-29",,,,,,"2024-11-16 16:14:19",,"Partial Failures","50","0","0","2","1","0","0","0",,
"n7rcws","7","24,81","78.44 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","1","0","0","0",,
"localhost","10","24,72","78.44 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","1","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-16 16:26:50",,"Partial Failures","50","0","0","2","1","0","0","0",,
"i2-ca-29",,,,,,"2024-11-16 16:26:50",,"Partial Failures","50","0","0","2","1","0","0","0",,
"n7rcws","12","28,26","78.64 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","8","28,27","78.64 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-17 04:13:14",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-17 04:13:14",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","0","28,49","78.64 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","0","28,49","78.64 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-17 04:50:39",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-17 04:50:39",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,,,"Success","0","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Success","0","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-19 12:58:20",,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-19 12:58:20",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-19 04:09:14",,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-19 04:09:14",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","5","30,71","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","0","30,71","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-19 19:56:34",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-19 19:56:34",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","0","30,66","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","0","30,71","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-19 20:14:18",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-19 20:14:18",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","8","30,8","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","3","30,8","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-19 20:23:40",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-19 20:23:40",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","6","30,6","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","6","30,61","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-19 20:25:08",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-19 20:25:08",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","14","31,51","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","11","31,43","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-19 20:29:31",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-19 20:29:31",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","9","30,93","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","5","30,94","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-19 20:33:52",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-19 20:33:52",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","17","31,09","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","21","31,07","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-19 20:43:14",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-19 20:43:14",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","3","31,09","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","6","31,1","78.78 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-19 20:45:49",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-19 20:45:49",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","9","31,18","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","7","31,16","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-19 23:29:55",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-19 23:29:55",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","16","31,42","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","15","31,37","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-20 00:25:42",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-20 00:25:42",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","13","31,37","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","22","31,39","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-20 00:35:35",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-20 00:35:35",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","8","31,46","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","7","31,5","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-20 00:41:04",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-20 00:41:04",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","10","31,5","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","3","31,45","78.81 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-20 00:46:04",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-20 00:46:04",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-20 09:35:24",,"Partial Failures","50","0","0","2","3","0","0","0",,
"U00200025-BAV02","17","77,94","63.43 %",,,,,"Partial Failures","50","0","0","2","3","0","0","0",,
"localhost","22","77,94","63.43 %",,,,,"Partial Failures","50","0","0","2","3","0","0","0",,
"i2-ca-29",,,,,,"2024-11-20 09:35:24",,"Partial Failures","50","0","0","2","3","0","0","0",,
"n7rcws",,,,,,"2024-11-20 10:00:02",,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02","26","77,19","63.43 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","13","77,19","63.43 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-20 10:00:02",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-20 11:35:29",,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02","23","76,44","63.45 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","23","76,44","63.45 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-20 11:35:29",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-20 12:36:24",,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02","13","77,07","63.46 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","27","77,19","63.46 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-20 12:36:24",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-20 13:17:19",,"Partial Failures","50","50","0","2","0","0","0","0",,
"U00200025-BAV02","23","80,95","63.47 %",,,,,"Partial Failures","50","50","0","2","0","0","0","0",,
"localhost","20","80,95","63.47 %",,,,,"Partial Failures","50","50","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-20 13:17:19",,"Partial Failures","50","50","0","2","0","0","0","0",,
"n7rcws",,,,,,"2024-11-20 13:23:45",,"Partial Failures","50","0","0","2","3","0","0","0",,
"U00200025-BAV02","29","76,69","63.47 %",,,,,"Partial Failures","50","0","0","2","3","0","0","0",,
"localhost","20","76,82","63.47 %",,,,,"Partial Failures","50","0","0","2","3","0","0","0",,
"i2-ca-29",,,,,,"2024-11-20 13:23:45",,"Partial Failures","50","0","0","2","3","0","0","0",,
"n7rcws",,,,,,"2024-11-20 13:37:36",,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02","26","73,56","63.47 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","15","73,68","63.47 %",,,,,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-20 13:37:36",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,,,"Success","0","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Success","0","0","0","2","0","0","0","0",,
"n7rcws",,,,,,,,"Success","0","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Success","0","0","0","2","0","0","0","0",,
"n7rcws",,,,,,,,"Success","0","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Success","0","0","0","2","0","0","0","0",,
"n7rcws",,,,,,,,"Success","0","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Success","0","0","0","2","0","0","0","0",,
"n7rcws","4","34,62","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","3","0","0","0",,
"localhost","6","34,61","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","3","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-20 20:33:08",,"Partial Failures","50","0","0","2","3","0","0","0",,
"i2-ca-29",,,,,,"2024-11-20 20:33:08",,"Partial Failures","50","0","0","2","3","0","0","0",,
"n7rcws","17","35,05","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","28","35,07","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-20 21:30:38",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-20 21:30:38",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws","8","35,02","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","12","35,03","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-20 21:35:36",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-20 21:35:36",,"Partial Failures","50","0","0","2","0","0","0","0",,
"n7rcws",,,,,,,,"Success","0","0","0","2","0","0","0","0",,
"localhost",,,,,,,,"Success","0","0","0","2","0","0","0","0",,
"n7rcws","4","35,1","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"localhost","3","35,1","78.87 %","0.09 %","39.83 %",,,"Partial Failures","50","0","0","2","0","0","0","0",,
"U00200025-BAV02",,,,,,"2024-11-20 21:45:47",,"Partial Failures","50","0","0","2","0","0","0","0",,
"i2-ca-29",,,,,,"2024-11-20 21:45:47",,"Partial Failures","50","0","0","2","0","0","0","0",,
