"Status","Timestamp","HostName"
"Power-on Failed","2024-11-05 05:28:38","U00200025-BAV02"
"Power-on Failed","2024-11-05 05:28:38","i2-ca-29"
"Host in Session [ notre]","2024-11-05 05:28:55","localhost"
"Host in Session [ notre]","2024-11-05 05:28:55","n7rcws"
"Power-on Failed","2024-11-05 05:32:29","U00200025-BAV02"
"Power-on Failed","2024-11-05 05:32:29","i2-ca-29"
"Host in Session [ notre]","2024-11-05 05:32:46","localhost"
"Host in Session [ notre]","2024-11-05 05:32:46","n7rcws"
"Power-on Failed","2024-11-05 05:37:14","U00200025-BAV02"
"Power-on Failed","2024-11-05 05:37:14","i2-ca-29"
"Host in Session [ notre]","2024-11-05 05:37:30","localhost"
"Host in Session [ notre]","2024-11-05 05:37:31","n7rcws"
"Power-on Failed","2024-11-05 05:42:44","U00200025-BAV02"
"Power-on Failed","2024-11-05 05:42:44","i2-ca-29"
"Host in Session [ notre]","2024-11-05 05:43:01","localhost"
"Host in Session [ notre]","2024-11-05 05:43:01","n7rcws"
"Power-on Failed","2024-11-05 07:11:40","U00200025-BAV02"
"Power-on Failed","2024-11-05 07:11:40","i2-ca-29"
"Host in Session [ notre]","2024-11-05 07:11:56","localhost"
"Host in Session [ notre]","2024-11-05 07:11:56","n7rcws"
"Power-on Failed","2024-11-05 07:15:27","U00200025-BAV02"
"Power-on Failed","2024-11-05 07:15:27","i2-ca-29"
"Host in Session [ notre]","2024-11-05 07:15:44","localhost"
"Host in Session [ notre]","2024-11-05 07:15:44","n7rcws"
"Power-on Failed","2024-11-05 08:03:55","i2-ca-29"
"Power-on Failed","2024-11-05 08:03:55","n7rcws"
"Host in Session [ administrador]","2024-11-05 08:04:58","localhost"
"Host in Session [ administrador]","2024-11-05 08:04:59","U00200025-BAV02"
"Power-on Failed","2024-11-05 08:09:48","i2-ca-29"
"Power-on Failed","2024-11-05 08:09:48","n7rcws"
"Host in Session [ administrador]","2024-11-05 08:10:48","localhost"
"Host in Session [ administrador]","2024-11-05 08:10:49","U00200025-BAV02"
"Power-on Failed","2024-11-05 08:15:05","i2-ca-29"
"Power-on Failed","2024-11-05 08:15:05","n7rcws"
